Date,Ticker,Open,High,Low,Close
05/11/2001,_SPXD,1255.29,1259.84,1240.79,1245.67
05/14/2001,_SPXD,1245.4399,1249.6801,1241.02,1248.92
05/15/2001,_SPXD,1249.55,1257.45,1245.36,1249.4399
05/16/2001,_SPXD,1247.5699,1286.39,1243.02,1284.99
05/17/2001,_SPXD,1285.3101,1296.48,1282.65,1288.49
05/18/2001,_SPXD,1286.97,1292.0601,1281.15,1291.96
05/21/2001,_SPXD,1291.95,1312.95,1287.87,1312.83
05/22/2001,_SPXD,1314.3101,1315.9301,1306.89,1309.38
05/23/2001,_SPXD,1308.25,1309.38,1288.7,1289.05
05/24/2001,_SPXD,1289.46,1295.04,1281.22,1293.17
05/25/2001,_SPXD,1293.0601,1293.17,1276.42,1277.89
05/29/2001,_SPXD,1276.6801,1278.42,1265.41,1267.9301
05/30/2001,_SPXD,1263.3,1267.9301,1245.96,1248.08
05/31/2001,_SPXD,1248.98,1261.91,1248.0699,1255.8199
06/01/2001,_SPXD,1257.83,1265.34,1246.88,1260.67
06/04/2001,_SPXD,1262.5601,1267.17,1256.36,1267.11
06/05/2001,_SPXD,1268.41,1286.62,1267.11,1283.5699
06/06/2001,_SPXD,1283.73,1283.85,1269.01,1270.03
06/07/2001,_SPXD,1269.0601,1277.08,1265.08,1276.96
06/08/2001,_SPXD,1277.1899,1277.11,1259.99,1264.96
06/11/2001,_SPXD,1264.01,1264.96,1249.23,1254.39
06/12/2001,_SPXD,1250.67,1261,1235.75,1255.85
06/13/2001,_SPXD,1255.78,1259.75,1241.59,1241.6
06/14/2001,_SPXD,1239.38,1241.6,1218.9,1219.87
06/15/2001,_SPXD,1216.8,1221.5,1203.03,1214.36
06/18/2001,_SPXD,1215.1899,1221.23,1208.33,1208.4301
06/19/2001,_SPXD,1215.12,1226.11,1207.71,1212.58
06/20/2001,_SPXD,1210.4301,1225.61,1210.0699,1223.14
06/21/2001,_SPXD,1222.63,1240.24,1220.25,1237.04
06/22/2001,_SPXD,1238.02,1237.73,1221.4399,1225.35
06/25/2001,_SPXD,1227.5699,1231.5,1213.6,1218.6
06/26/2001,_SPXD,1215.11,1220.7,1204.64,1216.76
06/27/2001,_SPXD,1216.8199,1219.92,1207.29,1211.0699
06/28/2001,_SPXD,1213.5699,1234.4399,1211.0699,1226.2
06/29/2001,_SPXD,1226.51,1237.29,1221.14,1224.42
07/02/2001,_SPXD,1225.54,1239.78,1224.03,1236.72
07/03/2001,_SPXD,1235.65,1236.71,1229.4301,1234.45
07/05/2001,_SPXD,1232.37,1234.45,1219.15,1219.24
07/06/2001,_SPXD,1217.0699,1219.24,1188.74,1190.59
07/09/2001,_SPXD,1191.16,1201.76,1189.75,1198.78
07/10/2001,_SPXD,1200.61,1203.4301,1179.9301,1181.52
07/11/2001,_SPXD,1180.88,1184.9301,1168.46,1180.1801
07/12/2001,_SPXD,1187.54,1210.25,1180.1801,1208.14
07/13/2001,_SPXD,1207.5,1218.54,1203.61,1215.6801
07/16/2001,_SPXD,1214.85,1219.63,1200.05,1202.45
07/17/2001,_SPXD,1201.14,1215.36,1196.14,1214.4399
07/18/2001,_SPXD,1210.34,1214.4399,1198.33,1207.71
07/19/2001,_SPXD,1210.85,1225.04,1205.8,1215.02
07/20/2001,_SPXD,1210.71,1215.6899,1207.04,1210.85
07/23/2001,_SPXD,1212.36,1215.22,1190.5,1191.03
07/24/2001,_SPXD,1189.75,1191.03,1165.54,1171.65
07/25/2001,_SPXD,1172.3199,1190.52,1171.28,1190.49
07/26/2001,_SPXD,1189.95,1204.1801,1182.65,1202.9301
07/27/2001,_SPXD,1202.12,1209.26,1195.99,1205.8199
07/30/2001,_SPXD,1206.49,1209.05,1200.41,1204.52
07/31/2001,_SPXD,1205.58,1222.74,1204.52,1211.23
08/01/2001,_SPXD,1214.05,1223.04,1211.23,1215.9301
08/02/2001,_SPXD,1218.66,1226.27,1215.3101,1220.75
08/03/2001,_SPXD,1219.61,1220.75,1205.3101,1214.35
08/06/2001,_SPXD,1211.8,1214.35,1197.35,1200.48
08/07/2001,_SPXD,1199.4301,1207.5601,1195.64,1204.4
08/08/2001,_SPXD,1202.89,1206.79,1181.27,1183.53
08/09/2001,_SPXD,1182.6899,1184.71,1174.6801,1183.4301
08/10/2001,_SPXD,1182.55,1193.33,1169.55,1190.16
08/13/2001,_SPXD,1190.6899,1193.8199,1185.12,1191.29
08/14/2001,_SPXD,1192,1198.79,1184.26,1186.73
08/15/2001,_SPXD,1186.52,1191.21,1177.61,1178.02
08/16/2001,_SPXD,1175.86,1181.8,1166.08,1181.66
08/17/2001,_SPXD,1177.33,1181.66,1156.0699,1161.97
08/20/2001,_SPXD,1161.91,1171.41,1160.9399,1171.41
08/21/2001,_SPXD,1171.7,1179.85,1156.5601,1157.26
08/22/2001,_SPXD,1159.66,1168.5601,1153.34,1165.3101
08/23/2001,_SPXD,1164.98,1169.86,1160.96,1162.09
08/24/2001,_SPXD,1165.02,1185.15,1162.09,1184.9301
08/27/2001,_SPXD,1184.5,1186.85,1178.0699,1179.21
08/28/2001,_SPXD,1179.29,1179.66,1161.17,1161.51
08/29/2001,_SPXD,1166.49,1166.97,1147.38,1148.6
08/30/2001,_SPXD,1144.84,1151.75,1124.87,1129.03
08/31/2001,_SPXD,1128.1801,1141.83,1126.38,1133.58
09/04/2001,_SPXD,1133.48,1155.4,1129.0601,1132.9399
09/05/2001,_SPXD,1133.12,1135.52,1114.86,1131.74
09/06/2001,_SPXD,1128.29,1131.74,1105.83,1106.4
09/07/2001,_SPXD,1105.36,1106.4,1082.12,1085.78
09/10/2001,_SPXD,1083.35,1096.9399,1073.15,1092.54
09/17/2001,_SPXD,1042.4399,1092.54,1037.46,1038.77
09/18/2001,_SPXD,1039.25,1046.42,1029.25,1032.74
09/19/2001,_SPXD,1034.55,1038.91,984.62,1016.1
09/20/2001,_SPXD,997.47,1016.1,984.49,984.54
09/21/2001,_SPXD,975.4,984.54,944.75,965.8
09/24/2001,_SPXD,969.72,1008.44,965.8,1003.45
09/25/2001,_SPXD,1003.23,1017.14,998.33,1012.27
09/26/2001,_SPXD,1019.29,1020.29,1002.62,1007.04
09/27/2001,_SPXD,1005.81,1018.92,998.24,1018.61
09/28/2001,_SPXD,1028.46,1040.9399,1018.61,1040.9399
10/01/2001,_SPXD,1037.9,1040.9399,1026.76,1038.55
10/02/2001,_SPXD,1037.64,1051.33,1034.47,1051.33
10/03/2001,_SPXD,1042.89,1075.38,1041.48,1072.28
10/04/2001,_SPXD,1074.5699,1084.12,1067.8199,1069.63
10/05/2001,_SPXD,1068.37,1072.35,1053.5,1071.38
10/08/2001,_SPXD,1060.34,1071.37,1056.88,1062.4399
10/09/2001,_SPXD,1061.2,1063.37,1053.83,1056.75
10/10/2001,_SPXD,1055.28,1081.62,1052.7,1080.99
10/11/2001,_SPXD,1088.1801,1099.16,1080.99,1097.4301
10/12/2001,_SPXD,1088.37,1097.4301,1072.15,1091.65
10/15/2001,_SPXD,1083.4399,1091.65,1078.1899,1089.98
10/16/2001,_SPXD,1093.71,1101.66,1087.13,1097.54
10/17/2001,_SPXD,1107.63,1107.63,1076.5699,1077.09
10/18/2001,_SPXD,1074.38,1077.9399,1064.54,1068.61
10/19/2001,_SPXD,1066.62,1075.52,1057.24,1073.48
10/22/2001,_SPXD,1071.53,1090.5699,1070.3199,1089.9
10/23/2001,_SPXD,1093.87,1098.99,1081.53,1084.78
10/24/2001,_SPXD,1085.25,1090.26,1079.98,1085.2
10/25/2001,_SPXD,1072.74,1100.09,1065.64,1100.09
10/26/2001,_SPXD,1096.24,1110.61,1094.24,1104.61
10/29/2001,_SPXD,1099.8101,1104.61,1078.3,1078.3
10/30/2001,_SPXD,1068.15,1078.3,1053.61,1059.79
10/31/2001,_SPXD,1066.37,1074.79,1057.55,1059.78
11/01/2001,_SPXD,1063.12,1085.61,1054.3101,1084.1
11/02/2001,_SPXD,1080.45,1089.63,1075.58,1087.2
11/05/2001,_SPXD,1097.28,1106.72,1087.2,1102.84
11/06/2001,_SPXD,1100.2,1119.73,1095.36,1118.86
11/07/2001,_SPXD,1116.5699,1126.62,1112.98,1115.8
11/08/2001,_SPXD,1118.17,1135.75,1115.42,1118.54
11/09/2001,_SPXD,1117.59,1123.02,1111.13,1120.3101
11/12/2001,_SPXD,1112.74,1121.71,1098.3199,1118.33
11/13/2001,_SPXD,1131.1801,1139.14,1118.33,1139.09
11/14/2001,_SPXD,1146.33,1148.28,1132.87,1141.21
